Study,Year,PDF link,PDF path,Arm / test,TP,FN,FP,TN,N positive,N negative,Sensitivity,Specificity,AUC (raw),Unit,Modality,Reference standard,Region,Validation type,Design (prospective),Vendor involvement,Glaucoma target,Glaucoma superclass,Age (glaucoma),Prevalence,AI algorithm,Threshold,Source sheet,Sens_pt,Sens_lo,Sens_hi,Spec_pt,Spec_lo,Spec_hi,N_pos_calc,N_neg_calc,decade,size_tier,region_simple,validation_simple,ref_std_category,rob_overall,ai_class
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop5 CatBoost,43,1,22,128,44,150,0.979,0.854,0.942,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop5 CatBoost,n/r,codex_v2,0.9773,0.8819,0.9960,0.8533,0.7879,0.9011,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop5 SVM,43,1,31,119,44,150,0.985,0.792,0.94,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop5 SVM,n/r,codex_v2,0.9773,0.8819,0.9960,0.7933,0.7216,0.8504,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop5 Ensemble,43,1,26,124,44,150,0.979,0.829,0.935,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop5 Ensemble,n/r,codex_v2,0.9773,0.8819,0.9960,0.8267,0.7581,0.8789,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop10 Logistic Regression,43,1,28,122,44,150,0.972,0.816,0.924,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop10 Logistic Regression,n/r,codex_v2,0.9773,0.8819,0.9960,0.8133,0.7434,0.8676,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop10 XGBoost,42,2,21,129,44,150,0.953,0.86,0.9,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop10 XGBoost,n/r,codex_v2,0.9545,0.8487,0.9874,0.8600,0.7954,0.9066,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop10 Random Forest,40,4,28,122,44,150,0.916,0.815,0.888,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop10 Random Forest,n/r,codex_v2,0.9091,0.7884,0.9641,0.8133,0.7434,0.8676,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop10 CatBoost,42,2,21,129,44,150,0.953,0.86,0.9,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop10 CatBoost,n/r,codex_v2,0.9545,0.8487,0.9874,0.8600,0.7954,0.9066,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop10 SVM,43,1,32,118,44,150,0.978,0.788,0.929,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop10 SVM,n/r,codex_v2,0.9773,0.8819,0.9960,0.7867,0.7144,0.8446,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop10 Ensemble,43,1,23,127,44,150,0.966,0.847,0.919,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop10 Ensemble,n/r,codex_v2,0.9773,0.8819,0.9960,0.8467,0.7804,0.8956,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop15 Logistic Regression,43,1,29,121,44,150,0.972,0.809,0.921,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop15 Logistic Regression,n/r,codex_v2,0.9773,0.8819,0.9960,0.8067,0.7361,0.8619,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop15 XGBoost,43,1,22,128,44,150,0.979,0.854,0.942,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop15 XGBoost,n/r,codex_v2,0.9773,0.8819,0.9960,0.8533,0.7879,0.9011,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop15 Random Forest,42,2,23,127,44,150,0.959,0.844,0.908,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop15 Random Forest,n/r,codex_v2,0.9545,0.8487,0.9874,0.8467,0.7804,0.8956,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop15 CatBoost,42,2,23,127,44,150,0.959,0.844,0.908,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop15 CatBoost,n/r,codex_v2,0.9545,0.8487,0.9874,0.8467,0.7804,0.8956,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop15 SVM,43,1,32,118,44,150,0.978,0.788,0.929,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop15 SVM,n/r,codex_v2,0.9773,0.8819,0.9960,0.7867,0.7144,0.8446,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop15 Ensemble,43,1,21,129,44,150,0.986,0.857,0.953,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop15 Ensemble,n/r,codex_v2,0.9773,0.8819,0.9960,0.8600,0.7954,0.9066,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop20 Logistic Regression,43,1,30,120,44,150,0.972,0.8,0.921,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop20 Logistic Regression,n/r,codex_v2,0.9773,0.8819,0.9960,0.8000,0.7289,0.8562,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop20 XGBoost,42,2,26,124,44,150,0.965,0.829,0.916,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop20 XGBoost,n/r,codex_v2,0.9545,0.8487,0.9874,0.8267,0.7581,0.8789,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop20 Random Forest,43,1,22,128,44,150,0.972,0.851,0.931,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop20 Random Forest,n/r,codex_v2,0.9773,0.8819,0.9960,0.8533,0.7879,0.9011,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop20 CatBoost,43,1,22,128,44,150,0.972,0.851,0.931,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop20 CatBoost,n/r,codex_v2,0.9773,0.8819,0.9960,0.8533,0.7879,0.9011,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop20 SVM,44,0,28,122,44,150,0.992,0.811,0.955,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop20 SVM,n/r,codex_v2,1.0000,0.9197,1.0000,0.8133,0.7434,0.8676,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,WOA pop20 Ensemble,43,1,23,127,44,150,0.986,0.848,0.95,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,WOA pop20 Ensemble,n/r,codex_v2,0.9773,0.8819,0.9960,0.8467,0.7804,0.8956,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,hGWWOA pop5 Logistic Regression,43,1,27,123,44,150,0.979,0.822,0.924,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,hGWWOA pop5 Logistic Regression,n/r,codex_v2,0.9773,0.8819,0.9960,0.8200,0.7508,0.8732,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,hGWWOA pop5 XGBoost,43,1,22,128,44,150,0.98,0.853,0.942,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,hGWWOA pop5 XGBoost,n/r,codex_v2,0.9773,0.8819,0.9960,0.8533,0.7879,0.9011,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,hGWWOA pop5 Random Forest,43,1,25,125,44,150,0.978,0.833,0.916,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,hGWWOA pop5 Random Forest,n/r,codex_v2,0.9773,0.8819,0.9960,0.8333,0.7655,0.8845,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,hGWWOA pop5 CatBoost,43,1,22,128,44,150,0.972,0.851,0.931,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,hGWWOA pop5 CatBoost,n/r,codex_v2,0.9773,0.8819,0.9960,0.8533,0.7879,0.9011,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,hGWWOA pop5 SVM,43,1,26,124,44,150,0.987,0.825,0.935,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,hGWWOA pop5 SVM,n/r,codex_v2,0.9773,0.8819,0.9960,0.8267,0.7581,0.8789,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,hGWWOA pop5 Ensemble,44,0,21,129,44,150,0.99,0.863,0.965,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,hGWWOA pop5 Ensemble,n/r,codex_v2,1.0000,0.9197,1.0000,0.8600,0.7954,0.9066,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,hGWWOA pop10 Logistic Regression,43,1,29,121,44,150,0.972,0.808,0.921,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,hGWWOA pop10 Logistic Regression,n/r,codex_v2,0.9773,0.8819,0.9960,0.8067,0.7361,0.8619,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,hGWWOA pop10 XGBoost,43,1,20,130,44,150,0.981,0.869,0.953,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,hGWWOA pop10 XGBoost,n/r,codex_v2,0.9773,0.8819,0.9960,0.8667,0.8030,0.9120,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,hGWWOA pop10 Random Forest,44,0,18,132,44,150,0.99,0.883,0.968,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,hGWWOA pop10 Random Forest,n/r,codex_v2,1.0000,0.9197,1.0000,0.8800,0.8183,0.9227,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,hGWWOA pop10 CatBoost,43,1,19,131,44,150,0.979,0.872,0.923,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,hGWWOA pop10 CatBoost,n/r,codex_v2,0.9773,0.8819,0.9960,0.8733,0.8106,0.9174,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,hGWWOA pop10 SVM,44,0,30,120,44,150,0.99,0.799,0.929,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,hGWWOA pop10 SVM,n/r,codex_v2,1.0000,0.9197,1.0000,0.8000,0.7289,0.8562,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,hGWWOA pop10 Ensemble,44,0,21,129,44,150,0.989,0.858,0.942,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,hGWWOA pop10 Ensemble,n/r,codex_v2,1.0000,0.9197,1.0000,0.8600,0.7954,0.9066,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,hGWWOA pop15 Logistic Regression,35,9,30,120,44,150,0.795,0.799,0.909,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,hGWWOA pop15 Logistic Regression,n/r,codex_v2,0.7955,0.6550,0.8885,0.8000,0.7289,0.8562,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,hGWWOA pop15 XGBoost,44,0,18,132,44,150,0.993,0.881,0.957,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,hGWWOA pop15 XGBoost,n/r,codex_v2,1.0000,0.9197,1.0000,0.8800,0.8183,0.9227,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,hGWWOA pop15 Random Forest,43,1,24,126,44,150,0.988,0.842,0.939,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,hGWWOA pop15 Random Forest,n/r,codex_v2,0.9773,0.8819,0.9960,0.8400,0.7730,0.8901,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,hGWWOA pop15 CatBoost,43,1,22,128,44,150,0.985,0.854,0.942,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,hGWWOA pop15 CatBoost,n/r,codex_v2,0.9773,0.8819,0.9960,0.8533,0.7879,0.9011,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,hGWWOA pop15 SVM,43,1,32,118,44,150,0.973,0.786,0.917,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,hGWWOA pop15 SVM,n/r,codex_v2,0.9773,0.8819,0.9960,0.7867,0.7144,0.8446,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,hGWWOA pop15 Ensemble,43,1,24,126,44,150,0.981,0.842,0.939,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,hGWWOA pop15 Ensemble,n/r,codex_v2,0.9773,0.8819,0.9960,0.8400,0.7730,0.8901,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,hGWWOA pop20 Logistic Regression,43,1,31,119,44,150,0.967,0.794,0.898,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,hGWWOA pop20 Logistic Regression,n/r,codex_v2,0.9773,0.8819,0.9960,0.7933,0.7216,0.8504,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,hGWWOA pop20 XGBoost,43,1,22,128,44,150,0.974,0.853,0.919,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,hGWWOA pop20 XGBoost,n/r,codex_v2,0.9773,0.8819,0.9960,0.8533,0.7879,0.9011,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,hGWWOA pop20 Random Forest,42,2,25,125,44,150,0.948,0.834,0.863,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,hGWWOA pop20 Random Forest,n/r,codex_v2,0.9545,0.8487,0.9874,0.8333,0.7655,0.8845,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,hGWWOA pop20 CatBoost,43,1,22,128,44,150,0.982,0.852,0.942,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,hGWWOA pop20 CatBoost,n/r,codex_v2,0.9773,0.8819,0.9960,0.8533,0.7879,0.9011,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,hGWWOA pop20 SVM,43,1,27,123,44,150,0.983,0.82,0.935,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,hGWWOA pop20 SVM,n/r,codex_v2,0.9773,0.8819,0.9960,0.8200,0.7508,0.8732,44,150,2020-24,small,Asia,internal,dataset_label,unclear,classical ML
